YEAR;WEEK;START_DATE;MID_DATE;END_DATE;SEX;N_DEATH;FLAG
2010;1;2010-01-03;2010-01-06;2010-01-09;Total;1217;d
2010;1;2010-01-03;2010-01-06;2010-01-09;Hommes;626;d
2010;1;2010-01-03;2010-01-06;2010-01-09;Femmes;591;d
2010;2;2010-01-10;2010-01-13;2010-01-16;Total;1197;d
2010;2;2010-01-10;2010-01-13;2010-01-16;Hommes;607;d
2010;2;2010-01-10;2010-01-13;2010-01-16;Femmes;590;d
2010;3;2010-01-17;2010-01-20;2010-01-23;Total;1163;d
2010;3;2010-01-17;2010-01-20;2010-01-23;Hommes;566;d
2010;3;2010-01-17;2010-01-20;2010-01-23;Femmes;597;d
2010;4;2010-01-24;2010-01-27;2010-01-30;Total;1135;d
2010;4;2010-01-24;2010-01-27;2010-01-30;Hommes;553;d
2010;4;2010-01-24;2010-01-27;2010-01-30;Femmes;582;d
2010;5;2010-01-31;2010-02-03;2010-02-06;Total;1194;d
2010;5;2010-01-31;2010-02-03;2010-02-06;Hommes;597;d
2010;5;2010-01-31;2010-02-03;2010-02-06;Femmes;597;d
2010;6;2010-02-07;2010-02-10;2010-02-13;Total;1119;d
2010;6;2010-02-07;2010-02-10;2010-02-13;Hommes;553;d
2010;6;2010-02-07;2010-02-10;2010-02-13;Femmes;566;d
2010;7;2010-02-14;2010-02-17;2010-02-20;Total;1247;d
2010;7;2010-02-14;2010-02-17;2010-02-20;Hommes;593;d
2010;7;2010-02-14;2010-02-17;2010-02-20;Femmes;654;d
2010;8;2010-02-21;2010-02-24;2010-02-27;Total;1121;d
2010;8;2010-02-21;2010-02-24;2010-02-27;Hommes;521;d
2010;8;2010-02-21;2010-02-24;2010-02-27;Femmes;600;d
2010;9;2010-02-28;2010-03-03;2010-03-06;Total;1168;d
2010;9;2010-02-28;2010-03-03;2010-03-06;Hommes;541;d
2010;9;2010-02-28;2010-03-03;2010-03-06;Femmes;627;d
2010;10;2010-03-07;2010-03-10;2010-03-13;Total;1130;d
2010;10;2010-03-07;2010-03-10;2010-03-13;Hommes;558;d
2010;10;2010-03-07;2010-03-10;2010-03-13;Femmes;572;d
2010;11;2010-03-14;2010-03-17;2010-03-20;Total;1204;d
2010;11;2010-03-14;2010-03-17;2010-03-20;Hommes;596;d
2010;11;2010-03-14;2010-03-17;2010-03-20;Femmes;608;d
2010;12;2010-03-21;2010-03-24;2010-03-27;Total;1141;d
2010;12;2010-03-21;2010-03-24;2010-03-27;Hommes;541;d
2010;12;2010-03-21;2010-03-24;2010-03-27;Femmes;600;d
2010;13;2010-03-28;2010-03-31;2010-04-03;Total;1203;d
2010;13;2010-03-28;2010-03-31;2010-04-03;Hommes;596;d
2010;13;2010-03-28;2010-03-31;2010-04-03;Femmes;607;d
2010;14;2010-04-04;2010-04-07;2010-04-10;Total;1079;d
2010;14;2010-04-04;2010-04-07;2010-04-10;Hommes;512;d
2010;14;2010-04-04;2010-04-07;2010-04-10;Femmes;567;d
2010;15;2010-04-11;2010-04-14;2010-04-17;Total;1192;d
2010;15;2010-04-11;2010-04-14;2010-04-17;Hommes;590;d
2010;15;2010-04-11;2010-04-14;2010-04-17;Femmes;602;d
2010;16;2010-04-18;2010-04-21;2010-04-24;Total;1142;d
2010;16;2010-04-18;2010-04-21;2010-04-24;Hommes;582;d
2010;16;2010-04-18;2010-04-21;2010-04-24;Femmes;560;d
2010;17;2010-04-25;2010-04-28;2010-05-01;Total;1187;d
2010;17;2010-04-25;2010-04-28;2010-05-01;Hommes;596;d
2010;17;2010-04-25;2010-04-28;2010-05-01;Femmes;591;d
2010;18;2010-05-02;2010-05-05;2010-05-08;Total;1037;d
2010;18;2010-05-02;2010-05-05;2010-05-08;Hommes;520;d
2010;18;2010-05-02;2010-05-05;2010-05-08;Femmes;517;d
2010;19;2010-05-09;2010-05-12;2010-05-15;Total;1104;d
2010;19;2010-05-09;2010-05-12;2010-05-15;Hommes;549;d
2010;19;2010-05-09;2010-05-12;2010-05-15;Femmes;555;d
2010;20;2010-05-16;2010-05-19;2010-05-22;Total;1018;d
2010;20;2010-05-16;2010-05-19;2010-05-22;Hommes;534;d
2010;20;2010-05-16;2010-05-19;2010-05-22;Femmes;484;d
2010;21;2010-05-23;2010-05-26;2010-05-29;Total;1130;d
2010;21;2010-05-23;2010-05-26;2010-05-29;Hommes;556;d
2010;21;2010-05-23;2010-05-26;2010-05-29;Femmes;574;d
2010;22;2010-05-30;2010-06-02;2010-06-05;Total;1109;d
2010;22;2010-05-30;2010-06-02;2010-06-05;Hommes;525;d
2010;22;2010-05-30;2010-06-02;2010-06-05;Femmes;584;d
2010;23;2010-06-06;2010-06-09;2010-06-12;Total;1091;d
2010;23;2010-06-06;2010-06-09;2010-06-12;Hommes;535;d
2010;23;2010-06-06;2010-06-09;2010-06-12;Femmes;556;d
2010;24;2010-06-13;2010-06-16;2010-06-19;Total;1067;d
2010;24;2010-06-13;2010-06-16;2010-06-19;Hommes;510;d
2010;24;2010-06-13;2010-06-16;2010-06-19;Femmes;557;d
2010;25;2010-06-20;2010-06-23;2010-06-26;Total;1018;d
2010;25;2010-06-20;2010-06-23;2010-06-26;Hommes;500;d
2010;25;2010-06-20;2010-06-23;2010-06-26;Femmes;518;d
2010;26;2010-06-27;2010-06-30;2010-07-03;Total;999;d
2010;26;2010-06-27;2010-06-30;2010-07-03;Hommes;488;d
2010;26;2010-06-27;2010-06-30;2010-07-03;Femmes;511;d
2010;27;2010-07-04;2010-07-07;2010-07-10;Total;1302;d
2010;27;2010-07-04;2010-07-07;2010-07-10;Hommes;641;d
2010;27;2010-07-04;2010-07-07;2010-07-10;Femmes;661;d
2010;28;2010-07-11;2010-07-14;2010-07-17;Total;1153;d
2010;28;2010-07-11;2010-07-14;2010-07-17;Hommes;569;d
2010;28;2010-07-11;2010-07-14;2010-07-17;Femmes;584;d
2010;29;2010-07-18;2010-07-21;2010-07-24;Total;1121;d
2010;29;2010-07-18;2010-07-21;2010-07-24;Hommes;552;d
2010;29;2010-07-18;2010-07-21;2010-07-24;Femmes;569;d
2010;30;2010-07-25;2010-07-28;2010-07-31;Total;1053;d
2010;30;2010-07-25;2010-07-28;2010-07-31;Hommes;551;d
2010;30;2010-07-25;2010-07-28;2010-07-31;Femmes;502;d
2010;31;2010-08-01;2010-08-04;2010-08-07;Total;1012;d
2010;31;2010-08-01;2010-08-04;2010-08-07;Hommes;472;d
2010;31;2010-08-01;2010-08-04;2010-08-07;Femmes;540;d
2010;32;2010-08-08;2010-08-11;2010-08-14;Total;1040;d
2010;32;2010-08-08;2010-08-11;2010-08-14;Hommes;515;d
2010;32;2010-08-08;2010-08-11;2010-08-14;Femmes;525;d
2010;33;2010-08-15;2010-08-18;2010-08-21;Total;1037;d
2010;33;2010-08-15;2010-08-18;2010-08-21;Hommes;483;d
2010;33;2010-08-15;2010-08-18;2010-08-21;Femmes;554;d
2010;34;2010-08-22;2010-08-25;2010-08-28;Total;1040;d
2010;34;2010-08-22;2010-08-25;2010-08-28;Hommes;520;d
2010;34;2010-08-22;2010-08-25;2010-08-28;Femmes;520;d
2010;35;2010-08-29;2010-09-01;2010-09-04;Total;1062;d
2010;35;2010-08-29;2010-09-01;2010-09-04;Hommes;526;d
2010;35;2010-08-29;2010-09-01;2010-09-04;Femmes;536;d
2010;36;2010-09-05;2010-09-08;2010-09-11;Total;1054;d
2010;36;2010-09-05;2010-09-08;2010-09-11;Hommes;551;d
2010;36;2010-09-05;2010-09-08;2010-09-11;Femmes;503;d
2010;37;2010-09-12;2010-09-15;2010-09-18;Total;1050;d
2010;37;2010-09-12;2010-09-15;2010-09-18;Hommes;551;d
2010;37;2010-09-12;2010-09-15;2010-09-18;Femmes;499;d
2010;38;2010-09-19;2010-09-22;2010-09-25;Total;1092;d
2010;38;2010-09-19;2010-09-22;2010-09-25;Hommes;552;d
2010;38;2010-09-19;2010-09-22;2010-09-25;Femmes;540;d
2010;39;2010-09-26;2010-09-29;2010-10-02;Total;1074;d
2010;39;2010-09-26;2010-09-29;2010-10-02;Hommes;540;d
2010;39;2010-09-26;2010-09-29;2010-10-02;Femmes;534;d
2010;40;2010-10-03;2010-10-06;2010-10-09;Total;1123;d
2010;40;2010-10-03;2010-10-06;2010-10-09;Hommes;541;d
2010;40;2010-10-03;2010-10-06;2010-10-09;Femmes;582;d
2010;41;2010-10-10;2010-10-13;2010-10-16;Total;1217;d
2010;41;2010-10-10;2010-10-13;2010-10-16;Hommes;577;d
2010;41;2010-10-10;2010-10-13;2010-10-16;Femmes;640;d
2010;42;2010-10-17;2010-10-20;2010-10-23;Total;1149;d
2010;42;2010-10-17;2010-10-20;2010-10-23;Hommes;550;d
2010;42;2010-10-17;2010-10-20;2010-10-23;Femmes;599;d
2010;43;2010-10-24;2010-10-27;2010-10-30;Total;1201;d
2010;43;2010-10-24;2010-10-27;2010-10-30;Hommes;574;d
2010;43;2010-10-24;2010-10-27;2010-10-30;Femmes;627;d
2010;44;2010-10-31;2010-11-03;2010-11-06;Total;1141;d
2010;44;2010-10-31;2010-11-03;2010-11-06;Hommes;558;d
2010;44;2010-10-31;2010-11-03;2010-11-06;Femmes;583;d
2010;45;2010-11-07;2010-11-10;2010-11-13;Total;1093;d
2010;45;2010-11-07;2010-11-10;2010-11-13;Hommes;540;d
2010;45;2010-11-07;2010-11-10;2010-11-13;Femmes;553;d
2010;46;2010-11-14;2010-11-17;2010-11-20;Total;1113;d
2010;46;2010-11-14;2010-11-17;2010-11-20;Hommes;553;d
2010;46;2010-11-14;2010-11-17;2010-11-20;Femmes;560;d
2010;47;2010-11-21;2010-11-24;2010-11-27;Total;1107;d
2010;47;2010-11-21;2010-11-24;2010-11-27;Hommes;531;d
2010;47;2010-11-21;2010-11-24;2010-11-27;Femmes;576;d
2010;48;2010-11-28;2010-12-01;2010-12-04;Total;1206;d
2010;48;2010-11-28;2010-12-01;2010-12-04;Hommes;600;d
2010;48;2010-11-28;2010-12-01;2010-12-04;Femmes;606;d
2010;49;2010-12-05;2010-12-08;2010-12-11;Total;1133;d
2010;49;2010-12-05;2010-12-08;2010-12-11;Hommes;570;d
2010;49;2010-12-05;2010-12-08;2010-12-11;Femmes;563;d
2010;50;2010-12-12;2010-12-15;2010-12-18;Total;1174;d
2010;50;2010-12-12;2010-12-15;2010-12-18;Hommes;573;d
2010;50;2010-12-12;2010-12-15;2010-12-18;Femmes;601;d
2010;51;2010-12-19;2010-12-22;2010-12-25;Total;1218;d
2010;51;2010-12-19;2010-12-22;2010-12-25;Hommes;599;d
2010;51;2010-12-19;2010-12-22;2010-12-25;Femmes;619;d
2010;52;2010-12-26;2010-12-29;2011-01-01;Total;1285;d
2010;52;2010-12-26;2010-12-29;2011-01-01;Hommes;603;d
2010;52;2010-12-26;2010-12-29;2011-01-01;Femmes;682;d
2011;1;2011-01-02;2011-01-05;2011-01-08;Total;1331;d
2011;1;2011-01-02;2011-01-05;2011-01-08;Hommes;659;d
2011;1;2011-01-02;2011-01-05;2011-01-08;Femmes;672;d
2011;2;2011-01-09;2011-01-12;2011-01-15;Total;1321;d
2011;2;2011-01-09;2011-01-12;2011-01-15;Hommes;626;d
2011;2;2011-01-09;2011-01-12;2011-01-15;Femmes;695;d
2011;3;2011-01-16;2011-01-19;2011-01-22;Total;1304;d
2011;3;2011-01-16;2011-01-19;2011-01-22;Hommes;622;d
2011;3;2011-01-16;2011-01-19;2011-01-22;Femmes;682;d
2011;4;2011-01-23;2011-01-26;2011-01-29;Total;1312;d
2011;4;2011-01-23;2011-01-26;2011-01-29;Hommes;646;d
2011;4;2011-01-23;2011-01-26;2011-01-29;Femmes;666;d
2011;5;2011-01-30;2011-02-02;2011-02-05;Total;1290;d
2011;5;2011-01-30;2011-02-02;2011-02-05;Hommes;660;d
2011;5;2011-01-30;2011-02-02;2011-02-05;Femmes;630;d
2011;6;2011-02-06;2011-02-09;2011-02-12;Total;1273;d
2011;6;2011-02-06;2011-02-09;2011-02-12;Hommes;595;d
2011;6;2011-02-06;2011-02-09;2011-02-12;Femmes;678;d
2011;7;2011-02-13;2011-02-16;2011-02-19;Total;1285;d
2011;7;2011-02-13;2011-02-16;2011-02-19;Hommes;632;d
2011;7;2011-02-13;2011-02-16;2011-02-19;Femmes;653;d
2011;8;2011-02-20;2011-02-23;2011-02-26;Total;1229;d
2011;8;2011-02-20;2011-02-23;2011-02-26;Hommes;559;d
2011;8;2011-02-20;2011-02-23;2011-02-26;Femmes;670;d
2011;9;2011-02-27;2011-03-02;2011-03-05;Total;1264;d
2011;9;2011-02-27;2011-03-02;2011-03-05;Hommes;573;d
2011;9;2011-02-27;2011-03-02;2011-03-05;Femmes;691;d
2011;10;2011-03-06;2011-03-09;2011-03-12;Total;1316;d
2011;10;2011-03-06;2011-03-09;2011-03-12;Hommes;630;d
2011;10;2011-03-06;2011-03-09;2011-03-12;Femmes;686;d
2011;11;2011-03-13;2011-03-16;2011-03-19;Total;1254;d
2011;11;2011-03-13;2011-03-16;2011-03-19;Hommes;587;d
2011;11;2011-03-13;2011-03-16;2011-03-19;Femmes;667;d
2011;12;2011-03-20;2011-03-23;2011-03-26;Total;1186;d
2011;12;2011-03-20;2011-03-23;2011-03-26;Hommes;561;d
2011;12;2011-03-20;2011-03-23;2011-03-26;Femmes;625;d
2011;13;2011-03-27;2011-03-30;2011-04-02;Total;1223;d
2011;13;2011-03-27;2011-03-30;2011-04-02;Hommes;625;d
2011;13;2011-03-27;2011-03-30;2011-04-02;Femmes;598;d
2011;14;2011-04-03;2011-04-06;2011-04-09;Total;1187;d
2011;14;2011-04-03;2011-04-06;2011-04-09;Hommes;568;d
2011;14;2011-04-03;2011-04-06;2011-04-09;Femmes;619;d
2011;15;2011-04-10;2011-04-13;2011-04-16;Total;1181;d
2011;15;2011-04-10;2011-04-13;2011-04-16;Hommes;593;d
2011;15;2011-04-10;2011-04-13;2011-04-16;Femmes;588;d
2011;16;2011-04-17;2011-04-20;2011-04-23;Total;1167;d
2011;16;2011-04-17;2011-04-20;2011-04-23;Hommes;554;d
2011;16;2011-04-17;2011-04-20;2011-04-23;Femmes;613;d
2011;17;2011-04-24;2011-04-27;2011-04-30;Total;1114;d
2011;17;2011-04-24;2011-04-27;2011-04-30;Hommes;566;d
2011;17;2011-04-24;2011-04-27;2011-04-30;Femmes;548;d
2011;18;2011-05-01;2011-05-04;2011-05-07;Total;1147;d
2011;18;2011-05-01;2011-05-04;2011-05-07;Hommes;539;d
2011;18;2011-05-01;2011-05-04;2011-05-07;Femmes;608;d
