YEAR;WEEK;START_DATE;MID_DATE;END_DATE;AGE;N_DEATH;FLAG
2010;1;2010-01-03;2010-01-06;2010-01-09;Total;1217;d
2010;1;2010-01-03;2010-01-06;2010-01-09;90+;193;d
2010;1;2010-01-03;2010-01-06;2010-01-09;80-89;411;d
2010;1;2010-01-03;2010-01-06;2010-01-09;70-79;257;d
2010;1;2010-01-03;2010-01-06;2010-01-09;60-69;182;d
2010;1;2010-01-03;2010-01-06;2010-01-09;50-59;95;d
2010;1;2010-01-03;2010-01-06;2010-01-09;0-49;79;d
2010;2;2010-01-10;2010-01-13;2010-01-16;Total;1197;d
2010;2;2010-01-10;2010-01-13;2010-01-16;90+;189;d
2010;2;2010-01-10;2010-01-13;2010-01-16;80-89;399;d
2010;2;2010-01-10;2010-01-13;2010-01-16;70-79;241;d
2010;2;2010-01-10;2010-01-13;2010-01-16;60-69;180;d
2010;2;2010-01-10;2010-01-13;2010-01-16;50-59;106;d
2010;2;2010-01-10;2010-01-13;2010-01-16;0-49;82;d
2010;3;2010-01-17;2010-01-20;2010-01-23;Total;1163;d
2010;3;2010-01-17;2010-01-20;2010-01-23;90+;202;d
2010;3;2010-01-17;2010-01-20;2010-01-23;80-89;401;d
2010;3;2010-01-17;2010-01-20;2010-01-23;70-79;246;d
2010;3;2010-01-17;2010-01-20;2010-01-23;60-69;152;d
2010;3;2010-01-17;2010-01-20;2010-01-23;50-59;99;d
2010;3;2010-01-17;2010-01-20;2010-01-23;0-49;63;d
2010;4;2010-01-24;2010-01-27;2010-01-30;Total;1135;d
2010;4;2010-01-24;2010-01-27;2010-01-30;90+;183;d
2010;4;2010-01-24;2010-01-27;2010-01-30;80-89;394;d
2010;4;2010-01-24;2010-01-27;2010-01-30;70-79;245;d
2010;4;2010-01-24;2010-01-27;2010-01-30;60-69;170;d
2010;4;2010-01-24;2010-01-27;2010-01-30;50-59;78;d
2010;4;2010-01-24;2010-01-27;2010-01-30;0-49;65;d
2010;5;2010-01-31;2010-02-03;2010-02-06;Total;1194;d
2010;5;2010-01-31;2010-02-03;2010-02-06;90+;190;d
2010;5;2010-01-31;2010-02-03;2010-02-06;80-89;405;d
2010;5;2010-01-31;2010-02-03;2010-02-06;70-79;265;d
2010;5;2010-01-31;2010-02-03;2010-02-06;60-69;171;d
2010;5;2010-01-31;2010-02-03;2010-02-06;50-59;95;d
2010;5;2010-01-31;2010-02-03;2010-02-06;0-49;68;d
2010;6;2010-02-07;2010-02-10;2010-02-13;Total;1119;d
2010;6;2010-02-07;2010-02-10;2010-02-13;90+;169;d
2010;6;2010-02-07;2010-02-10;2010-02-13;80-89;388;d
2010;6;2010-02-07;2010-02-10;2010-02-13;70-79;262;d
