YEAR;WEEK;START_DATE;MID_DATE;END_DATE;SEX;N_DEATH;FLAG
2010;1;2010-01-03;2010-01-06;2010-01-09;Total;1217;d
2010;1;2010-01-03;2010-01-06;2010-01-09;H;626;d
2010;1;2010-01-03;2010-01-06;2010-01-09;F;591;d
2010;2;2010-01-10;2010-01-13;2010-01-16;Total;1197;d
2010;2;2010-01-10;2010-01-13;2010-01-16;H;607;d
2010;2;2010-01-10;2010-01-13;2010-01-16;F;590;d
2010;3;2010-01-17;2010-01-20;2010-01-23;Total;1163;d
2010;3;2010-01-17;2010-01-20;2010-01-23;H;566;d
2010;3;2010-01-17;2010-01-20;2010-01-23;F;597;d
2010;4;2010-01-24;2010-01-27;2010-01-30;Total;1135;d
2010;4;2010-01-24;2010-01-27;2010-01-30;H;553;d
2010;4;2010-01-24;2010-01-27;2010-01-30;F;582;d
2010;5;2010-01-31;2010-02-03;2010-02-06;Total;1194;d
2010;5;2010-01-31;2010-02-03;2010-02-06;H;597;d
2010;5;2010-01-31;2010-02-03;2010-02-06;F;597;d
2010;6;2010-02-07;2010-02-10;2010-02-13;Total;1119;d
2010;6;2010-02-07;2010-02-10;2010-02-13;H;553;d
2010;6;2010-02-07;2010-02-10;2010-02-13;F;566;d
2010;7;2010-02-14;2010-02-17;2010-02-20;Total;1247;d
2010;7;2010-02-14;2010-02-17;2010-02-20;H;593;d
2010;7;2010-02-14;2010-02-17;2010-02-20;F;654;d
2010;8;2010-02-21;2010-02-24;2010-02-27;Total;1121;d
2010;8;2010-02-21;2010-02-24;2010-02-27;H;521;d
2010;8;2010-02-21;2010-02-24;2010-02-27;F;600;d
2010;9;2010-02-28;2010-03-03;2010-03-06;Total;1168;d
2010;9;2010-02-28;2010-03-03;2010-03-06;H;541;d
2010;9;2010-02-28;2010-03-03;2010-03-06;F;627;d
2010;10;2010-03-07;2010-03-10;2010-03-13;Total;1130;d
2010;10;2010-03-07;2010-03-10;2010-03-13;H;558;d
2010;10;2010-03-07;2010-03-10;2010-03-13;F;572;d
2010;11;2010-03-14;2010-03-17;2010-03-20;Total;1204;d
2010;11;2010-03-14;2010-03-17;2010-03-20;H;596;d
2010;11;2010-03-14;2010-03-17;2010-03-20;F;608;d
2010;12;2010-03-21;2010-03-24;2010-03-27;Total;1141;d
2010;12;2010-03-21;2010-03-24;2010-03-27;H;541;d
2010;12;2010-03-21;2010-03-24;2010-03-27;F;600;d
2010;13;2010-03-28;2010-03-31;2010-04-03;Total;1203;d
2010;13;2010-03-28;2010-03-31;2010-04-03;H;596;d
2010;13;2010-03-28;2010-03-31;2010-04-03;F;607;d
2010;14;2010-04-04;2010-04-07;2010-04-10;Total;1079;d
2010;14;2010-04-04;2010-04-07;2010-04-10;H;512;d
2010;14;2010-04-04;2010-04-07;2010-04-10;F;567;d
2010;15;2010-04-11;2010-04-14;2010-04-17;Total;1192;d
2010;15;2010-04-11;2010-04-14;2010-04-17;H;590;d
2010;15;2010-04-11;2010-04-14;2010-04-17;F;602;d
2010;16;2010-04-18;2010-04-21;2010-04-24;Total;1142;d
2010;16;2010-04-18;2010-04-21;2010-04-24;H;582;d
2010;16;2010-04-18;2010-04-21;2010-04-24;F;560;d
2010;17;2010-04-25;2010-04-28;2010-05-01;Total;1187;d
2010;17;2010-04-25;2010-04-28;2010-05-01;H;596;d
2010;17;2010-04-25;2010-04-28;2010-05-01;F;591;d
