YEAR;WEEK;START_DATE;MID_DATE;END_DATE;N_DEATH;TEMP_MIN_MIN;TEMP_MIN_MEAN;TEMP_MEAN_MIN;TEMP_MEAN_MEAN;TEMP_MEAN_MAX;TEMP_MAX_MEAN;TEMP_MAX_MAX
2010;1;2010-01-03;2010-01-06;2010-01-09;378;-16,67;-10,08;-13,93;-7,99;-5,27;-5,84;-4,33
2010;2;2010-01-10;2010-01-13;2010-01-16;367;-17,33;-8,97;-11,57;-5,7;1,2;-2,42;2,9
2010;3;2010-01-17;2010-01-20;2010-01-23;336;-15,67;-8,87;-9,8;-5,17;-0,73;-1,41;1,17
2010;4;2010-01-24;2010-01-27;2010-01-30;349;-20,7;-9,22;-17,63;-5,79;5,47;-2,32;8,93
2010;5;2010-01-31;2010-02-03;2010-02-06;380;-16,03;-14,77;-12,23;-10,63;-9,63;-6,42;-4,67
2010;6;2010-02-07;2010-02-10;2010-02-13;331;-12,9;-10,04;-9,87;-6,9;-3,93;-3,73;-0,1
2010;7;2010-02-14;2010-02-17;2010-02-20;391;-6,37;-4,79;-4,03;-2,59;-0,97;-0,35;1,43
2010;8;2010-02-21;2010-02-24;2010-02-27;340;-7,17;-2,05;-3,47;-0,02;2,6;2;4,63
2010;9;2010-02-28;2010-03-03;2010-03-06;366;-5,17;-2,69;-0,53;1,1;3,63;4,83;7,4
2010;10;2010-03-07;2010-03-10;2010-03-13;338;-6,03;-2,31;0,03;3,03;5,53;8,33;11,93
2010;11;2010-03-14;2010-03-17;2010-03-20;347;-1,1;1,38;3,23;6,68;9,8;11,95;15,7
2010;12;2010-03-21;2010-03-24;2010-03-27;344;-10,17;-3,54;-6,37;0,81;4,9;5,1;13,55
2010;13;2010-03-28;2010-03-31;2010-04-03;362;-3,9;2,25;2,3;8,08;18,73;13,9;26,1
2010;14;2010-04-04;2010-04-07;2010-04-10;308;2,53;6,06;6,17;9,97;14,1;13,81;19,37
2010;15;2010-04-11;2010-04-14;2010-04-17;330;0,1;2,06;5,2;7,05;9,5;12;17,97
2010;16;2010-04-18;2010-04-21;2010-04-24;339;0,97;3,85;5,23;9,8;12,9;15,67;19,87
2010;17;2010-04-25;2010-04-28;2010-05-01;415;0,25;3,91;3,9;9,63;14,2;15,3;19,73
2010;18;2010-05-02;2010-05-05;2010-05-08;289;3,5;8,53;7,8;13,94;19,17;19,32;26,33
2010;19;2010-05-09;2010-05-12;2010-05-15;307;-0,43;3,65;3,4;8,74;13,5;13,79;17,53
2010;20;2010-05-16;2010-05-19;2010-05-22;290;5,5;8,84;14,2;16,48;19,03;24,07;27,43
2010;21;2010-05-23;2010-05-26;2010-05-29;373;11,97;15,84;18,93;22,33;26,27;28,78;34,5
2010;22;2010-05-30;2010-06-02;2010-06-05;312;10,5;13,27;16,87;18,11;21,13;22,91;27,07
2010;23;2010-06-06;2010-06-09;2010-06-12;303;8,93;10,7;11,17;14,82;17,63;18,9;21,93
2010;24;2010-06-13;2010-06-16;2010-06-19;302;10,53;13,49;15,93;19,04;22,8;24,55;29,27
2010;25;2010-06-20;2010-06-23;2010-06-26;292;12,35;15,93;17,35;20,2;23,37;24,65;27,2
