WEEK;DATE_IDS;MONTH;YEAR;START_DATE;MID_DATE;END_DATE;N_DEATH;T_MIN_WMEAN;T_MEAN_WMEAN;T_MAX_WMEAN;HMDX_MIN_WMEAN;HMDX_MEAN_WMEAN;HMDX_MAX_WMEAN;TDEW_MEAN_WMEAN;WDCHL_MEAN_WMEAN;RELH_MEAN_WMEAN;PRES_MEAN_WMEAN;WDSPD_MEAN_WMEAN;PRCIP_SUM_WSUM;VISB_MEAN_WMEAN;TREND_MONTH;TREND_CSPLINE;EXTRAPOLATED;TREND_USPLINE;TREND_POLY;OM_MONTH;OM_CSPLINE;OM_USPLINE;OM_POLY
1;1;1;2010;2010-01-03;2010-01-06;2010-01-09;378;-9,73;-8,04;-6,09;;;;-11,14;-14,32;78,97;100,23;16,55;0;21,45;404,590909090909;368,880424677519;"";377,893557397487;411,983858574775;-26,6;9,1;0,1;-34
1;53;1;2011;2011-01-02;2011-01-05;2011-01-08;391;-7,44;-4,67;-2,04;;;;-8,13;-10,09;77,46;100,18;11,67;0;20,83;404,590909090909;375,742573988888;"";377,893557397487;411,983858574775;-13,6;15,3;13,1;-21
1;105;1;2012;2012-01-01;2012-01-04;2012-01-07;352;-11,13;-7,16;-2,67;;;;-11,16;-19,04;73,87;100,39;12,57;0;18,78;404,590909090909;355,209142828512;"";377,893557397487;411,983858574775;-52,6;-3,2;-25,9;-60
1;157;1;2013;2012-12-30;2013-01-02;2013-01-05;459;-17,24;-11,33;-5,58;;;;-15,6;-20,36;71,31;100,96;12,93;0;22,04;404,590909090909;374,808467358568;"";377,893557397487;411,983858574775;54,4;84,2;81,1;47
1;209;1;2014;2013-12-29;2014-01-01;2014-01-04;376;-24,58;-20,45;-16,88;;;;-25,66;-28,56;63,83;102,08;13,45;0,73;25;404,590909090909;356,62772441435;"";377,893557397487;411,983858574775;-28,6;19,4;-1,9;-36
1;262;1;2015;2015-01-04;2015-01-07;2015-01-10;457;-17,72;-12,05;-5,93;;;;-15,98;-20,58;73,49;101;15,37;32,9;16,85;404,590909090909;419,977693019547;"";377,893557397487;411,983858574775;52,4;37;79,1;45
1;314;1;2016;2016-01-03;2016-01-06;2016-01-09;372;-10,82;-6,06;-2,27;;;;-9,49;-14,92;77,31;101,76;11,32;8,7;22,85;404,590909090909;362,420961457125;"";377,893557397487;411,983858574775;-32,6;9,6;-5,9;-40
1;366;1;2017;2017-01-01;2017-01-04;2017-01-07;441;-9,87;-6,09;-2,83;;;;-8,78;-13,42;81,91;100,95;11,14;25,57;21,57;404,590909090909;384,836061894119;"";377,893557397487;411,983858574775;36,4;56,2;63,1;29
1;418;1;2018;2017-12-31;2018-01-03;2018-01-06;448;-20,71;-17,76;-13,7;;;;-21,32;-25,64;74,15;101,08;15,12;8,97;15,39;404,590909090909;397,687577046744;"";377,893557397487;411,983858574775;43,4;50,3;70,1;36
1;470;1;2019;2018-12-30;2019-01-02;2019-01-05;404;-8,6;-4,42;-1,29;;;;-7,25;-16,15;81,08;100,64;11;26,55;20,02;404,590909090909;382,744947289498;"";377,893557397487;411,983858574775;-0,6;21,3;26,1;-8
1;522;1;2020;2019-12-29;2020-01-01;2020-01-04;385;-0,34;1,29;2,76;;;;-1,61;;81,27;99,9;10,68;2,6;22,78;404,590909090909;377,893557397487;Extrapolated;377,893557397487;411,983858574775;-19,6;7,1;7,1;-27
1;575;1;2021;2021-01-03;2021-01-06;2021-01-09;470;-6,44;-4,11;-1,51;;;;-7,76;-8,18;76,68;101,34;9,76;0,2;24,36;404,590909090909;377,893557397487;Extrapolated;377,893557397487;411,983858574775;65,4;92,1;92,1;58
1;627;1;2022;2022-01-02;2022-01-05;2022-01-08;415;-13,65;-8,75;-4,59;;;;-12,52;-14,49;74,55;101,18;10,65;6,6;23,13;404,590909090909;377,893557397487;Extrapolated;377,893557397487;411,983858574775;10,4;37,1;37,1;3
2;2;1;2010;2010-01-10;2010-01-13;2010-01-16;367;-8,73;-5,81;-2,53;;;;-9,44;-13,7;75,85;101,36;11,66;0;21,42;404,590909090909;365,350662687788;"";379,207817122202;406,456995239544;-37,6;1,6;-12,2;-39,5
2;54;1;2011;2011-01-09;2011-01-12;2011-01-15;434;-10,41;-7,94;-6,1;;;;-11,34;-12,81;76,96;101,25;13,58;0;21,71;404,590909090909;377,62441636186;"";379,207817122202;406,456995239544;29,4;56,4;54,8;27,5
2;106;1;2012;2012-01-08;2012-01-11;2012-01-14;384;-11,48;-7,35;-2,94;;;;-11,38;-16,68;73,42;100,63;15,54;0;19,9;404,590909090909;357,185014001727;"";379,207817122202;406,456995239544;-20,6;26,8;4,8;-22,5
2;158;1;2013;2013-01-06;2013-01-09;2013-01-12;491;-5,9;-2,38;0,61;;;;-5,65;-15,15;78,73;101,61;11,62;0;21,88;404,590909090909;375,996855356766;"";379,207817122202;406,456995239544;86,4;115;111,8;84,5
2;210;1;2014;2014-01-05;2014-01-08;2014-01-11;377;-12,26;-7,4;-2,72;;;;-11,14;-16,29;75,47;100,96;14,66;32,57;20,72;404,590909090909;358,722726612259;"";379,207817122202;406,456995239544;-27,6;18,3;-2,2;-29,5
2;263;1;2015;2015-01-11;2015-01-14;2015-01-17;445;-18,85;-13,1;-8,41;;;;-17,73;-18,51;69,01;101,95;10,46;4,2;22,43;404,590909090909;420,075064834981;"";379,207817122202;406,456995239544;40,4;24,9;65,8;38,5
2;315;1;2016;2016-01-10;2016-01-13;2016-01-16;364;-10,15;-6,73;-2,72;;;;-9,97;-14,05;78,53;100,03;14,69;14,37;21,45;404,590909090909;364,431662047031;"";379,207817122202;406,456995239544;-40,6;-0,4;-15,2;-42,5
2;367;1;2017;2017-01-08;2017-01-11;2017-01-14;401;-11,24;-6,63;-2,03;;;;-10,85;-18,83;72,96;101,9;14,33;17,33;23,93;404,590909090909;388,51843541153;"";379,207817122202;406,456995239544;-3,6;12,5;21,8;-5,5
2;419;1;2018;2018-01-07;2018-01-10;2018-01-13;459;-12,18;-5,95;-1,24;;;;-8,48;-15,37;82,72;101,25;11,18;56,55;17,54;404,590909090909;400,524597605876;"";379,207817122202;406,456995239544;54,4;58,5;79,8;52,5
2;471;1;2019;2019-01-06;2019-01-09;2019-01-12;408;-12,86;-8,15;-5,18;;;;-12,64;-19,51;70,99;101,08;15,94;11,23;21,47;404,590909090909;383,6487363022;"";379,207817122202;406,456995239544;3,4;24,4;28,8;1,5
2;523;1;2020;2020-01-05;2020-01-08;2020-01-11;415;-9,68;-5,07;-1,55;;;;-8,38;-11,55;78,1;101,18;11,08;46;22,06;404,590909090909;379,207817122202;Extrapolated;379,207817122202;406,456995239544;10,4;35,8;35,8;8,5
2;576;1;2021;2021-01-10;2021-01-13;2021-01-16;445;-3,37;-1,36;0,42;;;;-3,6;-8,7;85,14;100,9;9,06;23,4;17,97;404,590909090909;379,207817122202;Extrapolated;379,207817122202;406,456995239544;40,4;65,8;65,8;38,5
2;628;1;2022;2022-01-09;2022-01-12;2022-01-15;500;-18,36;-13,28;-9,01;;;;-18,26;-21,57;67,39;101,53;13,12;7,97;23,24;404,590909090909;379,207817122202;Extrapolated;379,207817122202;406,456995239544;95,4;120,8;120,8;93,5
3;3;1;2010;2010-01-17;2010-01-20;2010-01-23;336;-7,72;-4,69;-1,35;;;;-7,83;-8,91;79,64;101,22;9,45;0;19,29;404,590909090909;362,148138788174;"";380,066489847563;401,031216431016;-68,6;-26,1;-44,1;-65
3;55;1;2011;2011-01-16;2011-01-19;2011-01-22;398;-15,52;-11,67;-8,8;;;;-15,42;-16,85;74,17;100,87;11,05;0;23,46;404,590909090909;378,844151482823;"";380,066489847563;401,031216431016;-6,6;19,2;17,9;-3
3;107;1;2012;2012-01-15;2012-01-18;2012-01-21;397;-17,4;-12,07;-5,42;;;;-16,75;-17,39;68,88;101,38;13,34;0;26,68;404,590909090909;358,787806557749;"";380,066489847563;401,031216431016;-7,6;38,2;16,9;-4
3;159;1;2013;2013-01-13;2013-01-16;2013-01-19;424;-7,25;-3,41;0,92;;;;-7,91;-13,14;72,47;101,2;11,82;0;22,6;404,590909090909;376,825624672043;"";380,066489847563;401,031216431016;19,4;47,2;43,9;23
3;211;1;2014;2014-01-12;2014-01-15;2014-01-18;405;-2,25;0,44;2,72;;;;-2,96;-4,71;78,62;100,3;10,7;5,47;22,71;404,590909090909;360,468450718141;"";380,066489847563;401,031216431016;0,4;44,5;24,9;4
3;264;1;2015;2015-01-18;2015-01-21;2015-01-24;459;-13,59;-8,32;-4,15;;;;-12,15;-15,51;73,95;100,74;12,61;4,95;22,55;404,590909090909;418,957095678685;"";380,066489847563;401,031216431016;54,4;40;78,9;58
3;316;1;2016;2016-01-17;2016-01-20;2016-01-23;365;-12,84;-9,57;-6,42;;;;-13,54;-15,68;73,5;101,04;14,96;5,7;24,29;404,590909090909;365,979851405731;"";380,066489847563;401,031216431016;-39,6;-1;-15,1;-36
3;368;1;2017;2017-01-15;2017-01-18;2017-01-21;415;-4,62;-1,97;-0,05;;;;-4,34;-9,18;84,76;101,23;10,04;6,77;19,43;404,590909090909;391,607254211875;"";380,066489847563;401,031216431016;10,4;23,4;34,9;14
3;420;1;2018;2018-01-14;2018-01-17;2018-01-20;469;-12,6;-9,67;-7,08;;;;-12,61;-16,63;79,55;101,82;11,94;1,27;19,07;404,590909090909;402,913077871075;"";380,066489847563;401,031216431016;64,4;66,1;88,9;68
3;472;1;2019;2019-01-13;2019-01-16;2019-01-19;408;-17,09;-12,47;-8,22;;;;-16,65;-18,97;71,59;101,84;10,31;4,17;22,31;404,590909090909;384,133447089333;"";380,066489847563;401,031216431016;3,4;23,9;27,9;7
3;524;1;2020;2020-01-12;2020-01-15;2020-01-18;390;-11,95;-8,74;-6,09;;;;-11,78;-15;79,13;101,99;10,97;28,85;19,87;404,590909090909;380,066489847563;Extrapolated;380,066489847563;401,031216431016;-14,6;9,9;9,9;-11
3;577;1;2021;2021-01-17;2021-01-20;2021-01-23;430;-11,87;-7,74;-4,71;;;;-10,64;-13,56;80,06;100,17;12,28;11,67;20,36;404,590909090909;380,066489847563;Extrapolated;380,066489847563;401,031216431016;25,4;49,9;49,9;29
3;629;1;2022;2022-01-16;2022-01-19;2022-01-22;490;-21,48;-15,95;-10,17;;;;-19,94;-21,94;72,11;101,35;11,91;14,57;24,31;404,590909090909;380,066489847563;Extrapolated;380,066489847563;401,031216431016;85,4;109,9;109,9;89
4;4;1;2010;2010-01-24;2010-01-27;2010-01-30;349;-8,91;-5,64;-2,46;;;;-9,77;-21,58;73,34;100,51;17,8;0;20,98;404,590909090909;359,246928285002;"";380,447890718902;395,709444498879;-55,6;-10,2;-31,4;-46,7
4;56;1;2011;2011-01-23;2011-01-26;2011-01-29;364;-15,9;-12,45;-9,21;;;;-16,18;-17,3;74,43;101,13;9,46;0;18,33;404,590909090909;379,324788377737;"";380,447890718902;395,709444498879;-40,6;-15,3;-16,4;-31,7
4;108;1;2012;2012-01-22;2012-01-25;2012-01-28;382;-8;-3,55;0,22;;;;-7,24;-12;76,19;101,03;13,15;0;22,52;404,590909090909;359,977720740074;"";380,447890718902;395,709444498879;-22,6;22;1,6;-13,7
4;160;1;2013;2013-01-20;2013-01-23;2013-01-26;403;-21,2;-16,74;-13,13;;;;-22,3;-26,22;62,46;101,28;14,66;0;28,16;404,590909090909;377,281934745319;"";380,447890718902;395,709444498879;-1,6;25,7;22,6;7,3
4;212;1;2014;2014-01-19;2014-01-22;2014-01-25;360;-18,6;-15,11;-11,16;;;;-20,05;-22,17;66,65;100,57;14,56;2,97;22,59;404,590909090909;361,853644060896;"";380,447890718902;395,709444498879;-44,6;-1,9;-20,4;-35,7
4;265;1;2015;2015-01-25;2015-01-28;2015-01-31;384;-17,29;-12,3;-7,48;;;;-18,81;-18,78;59,76;101,23;14,46;5,05;26,57;404,590909090909;416,732381203407;"";380,447890718902;395,709444498879;-20,6;-32,7;3,6;-11,7
4;317;1;2016;2016-01-24;2016-01-27;2016-01-30;342;-7,86;-3,66;0,18;;;;-6,72;-8,77;79,79;100,58;12,18;6,03;22,37;404,590909090909;367,018267671126;"";380,447890718902;395,709444498879;-62,6;-25;-38,4;-53,7
4;369;1;2017;2017-01-22;2017-01-25;2017-01-28;418;-2,45;-0,98;0,29;;;;-3,42;-7,18;84,11;99,7;17,26;13,83;17,22;404,590909090909;394,015183704452;"";380,447890718902;395,709444498879;13,4;24;37,6;22,3
4;421;1;2018;2018-01-21;2018-01-24;2018-01-27;446;-11,12;-6,83;-1,34;;;;-10,94;-17,5;73,33;101,5;14,56;24,3;23,9;404,590909090909;404,816215463766;"";380,447890718902;395,709444498879;41,4;41,2;65,6;50,3
4;473;1;2019;2019-01-20;2019-01-23;2019-01-26;418;-15,36;-11,82;-7,82;;;;-15,79;-20,98;73,35;100,98;14,13;49,23;16,76;404,590909090909;384,211842937242;"";380,447890718902;395,709444498879;13,4;33,8;37,6;22,3
4;525;1;2020;2020-01-19;2020-01-22;2020-01-25;420;-9,84;-6,24;-2,67;;;;-10,27;-18,59;73,69;101,76;12,71;12,15;26,24;404,590909090909;380,447890718902;Extrapolated;380,447890718902;395,709444498879;15,4;39,6;39,6;24,3
4;578;1;2021;2021-01-24;2021-01-27;2021-01-30;385;-14,15;-10,5;-7,62;;;;-14,63;-16,4;72,14;101,52;12,9;5,63;26,53;404,590909090909;380,447890718902;Extrapolated;380,447890718902;395,709444498879;-19,6;4,6;4,6;-10,7
4;630;1;2022;2022-01-23;2022-01-26;2022-01-29;480;-20,76;-15,24;-9,98;;;;-19,9;-20,56;68,74;101,33;9,43;3,83;25,92;404,590909090909;380,447890718902;Extrapolated;380,447890718902;395,709444498879;75,4;99,6;99,6;84,3
5;5;2;2010;2010-01-31;2010-02-03;2010-02-06;380;-14,44;-10,46;-6,58;;;;-16,21;-15,53;63,54;101,45;11,29;0;26,69;377,463414634146;356,621106484599;"";380,333258602956;390,494853456733;2,5;23,4;-0,3;-10,5
5;57;2;2011;2011-01-30;2011-02-02;2011-02-05;367;-13,5;-10,39;-7,64;;;;-15,23;-17,14;68,76;101,51;12,14;0;23,06;377,463414634146;378,989941377813;"";380,333258602956;390,494853456733;-10,5;-12;-13,3;-23,5
5;109;2;2012;2012-01-29;2012-02-01;2012-02-04;351;-8,86;-6,09;-3,34;;;;-10,21;-11,74;73,48;101,39;11,12;0;21,94;377,463414634146;360,714956792198;"";380,333258602956;390,494853456733;-26,5;-9,7;-29,3;-39,5
5;161;1;2013;2013-01-27;2013-01-30;2013-02-02;411;-11,98;-7,47;-3,48;;;;-11,73;-17,13;72,12;100,69;14,65;0;21,17;404,590909090909;377,352945017511;"";380,333258602956;390,494853456733;6,4;33,6;30,7;20,5
5;213;1;2014;2014-01-26;2014-01-29;2014-02-01;380;-13,96;-10,24;-6,13;;;;-15,77;-18,3;64,78;100,87;15,5;12,3;22,11;404,590909090909;362,867053969429;"";380,333258602956;390,494853456733;-24,6;17,1;-0,3;-10,5
5;266;2;2015;2015-02-01;2015-02-04;2015-02-07;400;-18,93;-14,47;-10,54;;;;-18,86;-20,47;70,57;101,3;10,82;7,9;23,42;377,463414634146;413,509517061898;"";380,333258602956;390,494853456733;22,5;-13,5;19,7;9,5
5;318;2;2016;2016-01-31;2016-02-03;2016-02-06;346;-3,73;0,12;4,3;;;;-3,89;-7,74;75,4;100,99;11,96;21,52;24,63;377,463414634146;367,528280889905;"";380,333258602956;390,494853456733;-31,5;-21,5;-34,3;-44,5
5;370;2;2017;2017-01-29;2017-02-01;2017-02-04;391;-11,46;-8;-4,81;;;;-11,98;-12,8;74,13;100,66;11,49;3,13;23,53;377,463414634146;395,654889298558;"";380,333258602956;390,494853456733;13,5;-4,7;10,7;0,5
5;422;1;2018;2018-01-28;2018-01-31;2018-02-03;470;-13,78;-8,88;-3,33;;;;-13,57;-18,13;69,53;101,44;13,68;5,03;23,31;404,590909090909;406,197208005378;"";380,333258602956;390,494853456733;65,4;63,8;89,7;79,5
5;474;1;2019;2019-01-27;2019-01-30;2019-02-02;391;-16,99;-13,06;-8,85;;;;-18,84;-19,91;63,5;101,13;15,18;9,57;22,99;404,590909090909;383,896687132275;"";380,333258602956;390,494853456733;-13,6;7,1;10,7;0,5
